,Division,Colour,Alpha,Favourite,Prob
138,COWAN,#0000FF9B,0.609224338,Coalition,0.804612169
139,CURTIN,#0000FFD8,0.848043182,Coalition,0.924021591
140,DURACK,#0000FFB2,0.698009545,Coalition,0.849004772
141,FORREST,#0000FFAB,0.671936315,Coalition,0.835968157
142,FREMANTLE,#FF0000AD,0.679941003,ALP,0.839970501
143,HASLUCK,#0000FF11,0.066433585,Coalition,0.533216792
144,MOORE,#0000FFC9,0.789500984,Coalition,0.894750492
145,O'CONNOR,#0000FF6D,0.427673539,Coalition,0.71383677
146,PEARCE,#0000FFCE,0.809585612,Coalition,0.904792806
147,PERTH,#FF0000CB,0.795487992,ALP,0.897743996
148,STIRLING,#0000FF80,0.500785689,Coalition,0.750392845
149,SWAN,#0000FF57,0.339240831,Coalition,0.669620416
150,TANGNEY,#0000FFC2,0.762091799,Coalition,0.881045899
